time,op,hi,lo,cl,10ma,25ma,75ma
2017/02/10 07:00:00,113.249,113.856,112.863,113.21350000000001,112.96225,113.93118,112.7716533333333
2017/02/13 07:00:00,113.554,114.169,113.438,113.738,112.77475000000001,113.78037999999998,112.8779333333333
2017/02/14 07:00:00,113.738,114.502,113.251,114.2565,112.77075000000002,113.68867999999996,112.99813999999996
2017/02/15 07:00:00,114.2565,114.957,113.873,114.159,112.9162,113.62811999999997,113.12456666666662
2017/02/16 07:00:00,114.159,114.307,113.084,113.23949999999999,113.00715000000002,113.57787999999995,113.25908666666663
2017/02/17 07:00:00,113.23949999999999,113.5,112.621,112.8015,113.05109999999999,113.51905999999997,113.39108666666665
2017/02/20 07:00:00,112.886,113.238,112.798,113.102,113.07260000000001,113.45057999999997,113.52215999999999
2017/02/21 07:00:00,113.102,113.778,113.094,113.686,113.20840000000001,113.40687999999999,113.65534
2017/02/22 07:00:00,113.686,113.729,112.911,113.305,113.33815,113.44951999999999,113.77786666666664
2017/02/23 07:00:00,113.305,113.456,112.553,112.61500000000001,113.47500000000002,113.39592,113.88642666666667
2017/02/24 07:00:00,112.61500000000001,112.952,111.939,112.1275,113.41159999999999,113.30592,113.9790133333333
2017/02/27 07:00:00,112.1575,112.84,111.924,112.703,113.30300000000003,113.20692000000001,114.0496333333333
2017/02/28 07:00:00,112.703,112.892,111.693,112.77850000000001,113.19950000000001,113.20653999999999,114.13022666666664
2017/03/01 07:00:00,112.77850000000001,114.047,112.759,113.726,113.05170000000003,113.16608000000002,114.18820666666666
2017/03/02 07:00:00,113.726,114.59,113.69,114.40950000000001,113.00840000000001,113.18386000000002,114.24848666666665
2017/03/03 07:00:00,114.40950000000001,114.74,113.817,114.02250000000001,113.12540000000001,113.17932000000002,114.31959333333333
2017/03/06 07:00:00,113.926,114.138,113.563,113.8905,113.24749999999999,113.13668000000003,114.37162666666663
2017/03/07 07:00:00,113.8905,114.151,113.731,113.9795,113.32635,113.14118000000002,114.41147999999997
2017/03/08 07:00:00,113.9795,114.755,113.613,114.36,113.3557,113.18828000000002,114.45358666666662
2017/03/09 07:00:00,114.36,115,114.344,114.9505,113.4612,113.23270000000002,114.49654666666662
2017/03/10 07:00:00,114.9505,115.506,114.658,114.7775,113.69475,113.31872000000001,114.52912666666666
2017/03/13 07:00:00,114.771,114.92,114.484,114.8475,113.95974999999999,113.40636000000002,114.54840000000002
2017/03/14 07:00:00,114.8475,115.194,114.522,114.743,114.17420000000001,113.53049999999999,114.5698
2017/03/15 07:00:00,114.743,114.883,113.179,113.4675,114.37065,113.62468000000001,114.60712
2017/03/16 07:00:00,113.4675,113.548,112.909,113.3005,114.3448,113.68592000000002,114.62162
2017/03/17 07:00:00,113.3005,113.492,112.567,112.68950000000001,114.23390000000002,113.68797999999998,114.60621333333334
2017/03/20 07:00:00,112.642,112.898,112.458,112.50049999999999,114.10060000000001,113.66702,114.58750666666664
2017/03/21 07:00:00,112.50049999999999,112.866,111.546,111.78550000000001,113.9616,113.61752,114.57402666666667
2017/03/22 07:00:00,111.78550000000001,111.798,110.735,111.2645,113.7422,113.51868,114.54651999999997
2017/03/23 07:00:00,111.2645,111.581,110.63,110.9805,113.43265000000001,113.4029,114.50991999999997
2017/03/24 07:00:00,110.9805,111.483,110.626,111.3495,113.03564999999999,113.31253999999998,114.47269999999997
2017/03/27 07:00:00,110.943,111,110.113,110.63749999999999,112.69284999999999,113.25445999999997,114.4368933333333
2017/03/28 07:00:00,110.63749999999999,111.201,110.181,111.069,112.27185,113.15588,114.3744
2017/03/29 07:00:00,111.069,111.315,110.719,111.0095,111.90445,113.05119999999997,114.32168
2017/03/30 07:00:00,111.0095,111.944,110.943,111.8435,111.65865,112.95938,114.26601333333332
2017/03/31 07:00:00,111.8435,112.194,111.244,111.3895,111.51295,112.92851999999998,114.1967
2017/04/03 07:00:00,111.39500000000001,111.588,110.85,110.8535,111.38295000000001,112.89899999999997,114.10622666666667
2017/04/04 07:00:00,110.8535,110.898,110.269,110.697,111.21824999999998,112.82502000000001,114.01195999999999
2017/04/05 07:00:00,110.697,111.455,110.461,110.51050000000001,111.10940000000001,112.74176,113.92664666666666
2017/04/06 07:00:00,110.51050000000001,111.138,110.292,110.844,111.03399999999999,112.61314,113.82872
2017/04/07 07:00:00,110.844,111.365,110.135,111.0625,111.02035000000001,112.47052000000002,113.73921333333334
2017/04/10 07:00:00,111.07849999999999,111.578,110.808,110.86449999999999,110.99165,112.35212000000001,113.65286
2017/04/11 07:00:00,110.86449999999999,110.888,109.54,109.608,111.01435,112.23108,113.56676666666667
2017/04/12 07:00:00,109.608,109.866,108.918,108.98949999999999,110.86825000000002,112.05622000000001,113.46664666666669
2017/04/13 07:00:00,108.98949999999999,109.393,108.729,109.1505,110.66624999999999,111.84140000000004,113.35417333333334
2017/04/14 07:00:00,109.1505,109.225,108.553,108.61250000000001,110.39695000000002,111.60940000000002,113.24608
2017/04/17 07:00:00,108.727,109.078,108.136,109.01849999999999,110.11925000000001,111.36280000000002,113.14043333333335
2017/04/18 07:00:00,109.01849999999999,109.221,108.322,108.447,109.93575000000001,111.12964000000005,113.03418
2017/04/19 07:00:00,108.447,109.18,108.385,108.85249999999999,109.71075,110.87780000000004,112.91008666666669
2017/04/20 07:00:00,108.85249999999999,109.489,108.721,109.2875,109.54495,110.69320000000003,112.79820666666669
2017/04/21 07:00:00,109.2875,109.424,108.885,109.1565,109.38929999999998,110.53268000000001,112.71728000000003
2017/04/24 07:00:00,110.271,110.349,109.662,109.7895,109.19869999999999,110.39136000000002,112.61292000000002
2017/04/25 07:00:00,109.7895,111.188,109.6,111.084,109.0912,110.28291999999999,112.52970666666668
2017/04/26 07:00:00,111.084,111.779,110.874,111.10249999999999,109.2388,110.25486,112.46722000000004
2017/04/27 07:00:00,111.10249999999999,111.6,111.043,111.2575,109.45009999999999,110.24837999999995,112.40972000000004
2017/04/28 07:00:00,111.2575,111.72,111.072,111.4735,109.66079999999997,110.25945999999998,112.3636866666667
2017/05/01 07:00:00,111.423,111.93,111.21,111.851,109.94689999999999,110.26441999999997,112.32315333333335
2017/05/02 07:00:00,111.851,112.305,111.782,112.0205,110.23015000000001,110.31295999999999,112.29190666666669
2017/05/03 07:00:00,112.0205,112.778,111.964,112.66650000000001,110.5875,110.35101999999999,112.28391333333336
2017/05/04 07:00:00,112.66650000000001,113.05,112.32,112.539,110.9689,110.4173,112.25753333333337
2017/05/05 07:00:00,112.539,112.803,112.091,112.7185,111.29405,110.44512000000003,112.22652000000002
2017/05/08 07:00:00,112.875,113.295,112.399,113.2705,111.65025,110.49828000000001,112.20140000000005
2017/05/09 07:00:00,113.2705,114.33,113.136,113.978,111.99835,110.59496000000001,112.20884000000002
2017/05/10 07:00:00,113.978,114.369,113.632,114.28550000000001,112.28774999999999,110.7262,112.21134666666667
2017/05/11 07:00:00,114.28550000000001,114.369,113.462,113.824,112.60604999999998,110.87720000000002,112.22473333333333
2017/05/12 07:00:00,113.824,113.952,113.2,113.3425,112.86269999999999,110.99640000000001,112.21541333333334
2017/05/15 07:00:00,113.236,113.851,113.203,113.6,113.04959999999998,111.08760000000002,112.19213333333336
2017/05/16 07:00:00,113.6,113.771,112.934,113.1045,113.22449999999999,111.19702000000001,112.18975999999999
2017/05/17 07:00:00,113.1045,113.106,110.545,110.725,113.3329,111.33688000000001,112.1937933333333
